tanggal,positif,sembuh,meninggal
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,2,0,0
3/3/20,2,0,0
3/4/20,2,0,0
3/5/20,2,0,0
3/6/20,4,0,0
3/7/20,4,0,0
3/8/20,6,0,0
3/9/20,19,0,0
3/10/20,27,2,0
3/11/20,34,2,1
3/12/20,34,2,1
3/13/20,69,2,4
3/14/20,96,8,5
3/15/20,117,8,5
3/16/20,134,8,5
3/17/20,172,8,5
3/18/20,227,11,19
3/19/20,311,11,25
3/20/20,369,15,32
3/21/20,450,15,38
3/22/20,514,29,48
3/23/20,579,29,49
3/24/20,686,30,55
3/25/20,790,31,58
3/26/20,893,35,78
3/27/20,1046,46,87
3/28/20,1155,59,102
3/29/20,1285,64,114
3/30/20,1414,75,122
3/31/20,1528,81,136
4/1/20,1677,103,157
4/2/20,1790,112,170
4/3/20,1986,134,181
4/4/20,2092,150,191
4/5/20,2273,164,198
4/6/20,2491,192,209
4/7/20,2738,204,221
4/8/20,2956,222,240
4/9/20,3293,252,280
4/10/20,3512,282,306
4/11/20,3842,286,327
4/12/20,4241,359,373
4/13/20,4557,380,399
4/14/20,4839,426,459
4/15/20,5136,446,469
4/16/20,5516,548,496
4/17/20,5923,607,520
4/18/20,6248,631,535
4/19/20,6575,686,582
4/20/20,6760,747,590
4/21/20,7135,842,616
4/22/20,7418,913,635
4/23/20,7775,960,647
4/24/20,8211,1002,689
4/25/20,8607,1042,720
4/26/20,8882,1107,743
4/27/20,9096,1151,765
4/28/20,9511,1254,773
4/29/20,9771,1391,784
4/30/20,10118,1522,792
5/1/20,10551,1591,800
5/2/20,10843,1665,831
5/3/20,11192,1876,845
5/4/20,11587,1954,864
5/5/20,12071,2197,872
5/6/20,12438,2317,895
5/7/20,12776,2381,930
5/8/20,13112,2494,943
5/9/20,13645,2607,959
5/10/20,14032,2698,973
5/11/20,14265,2881,991
5/12/20,14749,3063,1007
5/13/20,15438,3287,1028
5/14/20,16006,3518,1043
5/15/20,16496,3803,1076
5/16/20,17025,3911,1089
5/17/20,17514,4129,1148
5/18/20,18010,4324,1191
5/19/20,18496,4467,1221
5/20/20,19189,4575,1242
5/21/20,20162,4838,1278
5/22/20,20796,5057,1326
5/23/20,21745,5249,1351
5/24/20,22271,5402,1372
5/25/20,22750,5642,1391
5/26/20,23165,5877,1418
5/27/20,23851,6057,1473
5/28/20,24538,6240,1496
5/29/20,25216,6492,1520
5/30/20,25773,7015,1573
5/31/20,26473,7308,1613
6/1/20,26940,7637,1641
6/2/20,27549,7935,1663
6/3/20,28233,8406,1698
6/4/20,28818,8892,1721
6/5/20,29521,9443,1770
6/6/20,30514,9907,1801
6/7/20,31186,10498,1851
6/8/20,32033,10904,1883
6/9/20,33076,11414,1923
6/10/20,34316,12129,1959
6/11/20,35295,12636,2000
6/12/20,36406,13213,2048
6/13/20,37420,13776,2091
6/14/20,38277,14531,2134
6/15/20,39294,15123,2198
6/16/20,40400,15703,2231
6/17/20,41431,16243,2276
6/18/20,42762,16798,2339
6/19/20,43803,17349,2373
6/20/20,45029,17883,2429
6/21/20,45891,18404,2465
