tanggal,positif,sembuh,meninggal
1/22/20,555,28,17
1/23/20,654,30,18
1/24/20,941,36,26
1/25/20,1434,39,42
1/26/20,2118,52,56
1/27/20,2927,61,82
1/28/20,5578,107,131
1/29/20,6166,126,133
1/30/20,8234,143,171
1/31/20,9927,222,213
2/1/20,12038,284,259
2/2/20,16787,472,362
2/3/20,19881,623,426
2/4/20,23892,852,492
2/5/20,27635,1124,564
2/6/20,30794,1487,634
2/7/20,34391,2011,719
2/8/20,37120,2616,806
2/9/20,40150,3244,906
2/10/20,42762,3946,1013
2/11/20,44802,4683,1113
2/12/20,45221,5150,1118
2/13/20,60368,6295,1371
2/14/20,66885,8058,1523
2/15/20,69030,9395,1666
2/16/20,71224,10865,1770
2/17/20,73258,12583,1868
2/18/20,75136,14352,2007
2/19/20,75639,16121,2122
2/20/20,76197,18177,2247
2/21/20,76819,18890,2251
2/22/20,78572,22886,2458
2/23/20,78958,23394,2469
2/24/20,79525,25227,2629
2/25/20,80372,27905,2708
2/26/20,81346,30384,2770
2/27/20,82704,33277,2814
2/28/20,84070,36711,2872
2/29/20,85967,39782,2941
3/1/20,88325,42716,2996
3/2/20,90262,45602,3085
3/3/20,92795,48228,3160
3/4/20,95075,51170,3254
3/5/20,97844,53796,3347
3/6/20,101761,55865,3459
3/7/20,105782,58359,3558
3/8/20,109754,60694,3801
3/9/20,113536,62493,3987
3/10/20,118375,64404,4263
3/11/20,125704,67002,4610
3/12/20,130909,68323,4913
3/13/20,145204,70250,5411
3/14/20,156283,72621,5831
3/15/20,167022,76031,6471
3/16/20,181452,78085,7151
3/17/20,196917,80837,7957
3/18/20,216161,83320,8852
3/19/20,243084,84957,9958
3/20/20,272698,87402,11439
3/21/20,304844,91666,13141
3/22/20,337597,97881,14840
3/23/20,378381,98346,16758
3/24/20,418569,107985,19026
3/25/20,468155,113768,21799
3/26/20,530138,122133,24800
3/27/20,594178,130902,28308
3/28/20,661544,139396,31990
3/29/20,720695,148863,35456
3/30/20,783580,164300,39604
3/31/20,858317,177786,44440
4/1/20,933905,192876,49968
4/2/20,1014713,209917,56251
4/3/20,1097193,225364,62213
4/4/20,1177447,245777,68044
4/5/20,1251123,259616,73031
4/6/20,1322598,276249,78862
4/7/20,1397537,299637,86765
4/8/20,1481490,328353,93457
4/9/20,1567423,353689,101043
4/10/20,1659674,375508,108286
4/11/20,1737813,401755,114307
4/12/20,1836615,421158,120007
4/13/20,1906692,448324,125730
4/14/20,1977287,473417,132621
4/15/20,2057584,510084,140886
4/16/20,2153578,540912,148157
4/17/20,2242537,567032,157022
4/18/20,2316591,590955,163452
4/19/20,2399451,622609,167983
4/20/20,2472264,644611,173381
4/21/20,2546905,679438,180475
4/22/20,2622750,709867,187174
4/23/20,2711635,738658,193926
4/24/20,2799064,788691,200266
4/25/20,2884420,816470,206459
4/26/20,2958352,845073,210192
4/27/20,3027215,872876,214747
4/28/20,3101078,906142,221109
4/29/20,3176596,948310,227992
4/30/20,3261450,1013281,233687
5/1/20,3349915,1051512,238942
5/2/20,3432050,1092429,244129
5/3/20,3511157,1124752,247797
5/4/20,3587874,1158816,251890
5/5/20,3668635,1195421,257612
5/6/20,3760836,1241339,264196
5/7/20,3851895,1280836,269905
5/8/20,3945002,1317358,275250
5/9/20,4030363,1370907,279661
5/10/20,4108270,1404501,283086
5/11/20,4184838,1451495,286697
5/12/20,4268247,1488530,292319
5/13/20,4353211,1544372,297539
5/14/20,4451126,1584107,302813
5/15/20,4548549,1632096,307998
5/16/20,4641727,1688687,312150
5/17/20,4721968,1729573,315546
5/18/20,4810315,1782471,318853
5/19/20,4906193,1834636,323662
5/20/20,5005761,1893549,328483
5/21/20,5112366,1944814,333292
5/22/20,5220585,2053465,338585
5/23/20,5321022,2108436,342565
5/24/20,5417354,2163876,345412
5/25/20,5504324,2227599,346583
5/26/20,5599216,2282813,350807
5/27/20,5702113,2346206,355990
5/28/20,5820253,2413063,360686
5/29/20,5941938,2490390,365380
5/30/20,6070884,2560862,369492
5/31/20,6178860,2637170,372373
6/1/20,6275246,2692065,375902
6/2/20,6387849,2796188,380599
6/3/20,6519164,2875330,386298
6/4/20,6642853,2945359,391472
6/5/20,6776126,3014515,396294
6/6/20,6902650,3086717,400107
6/7/20,7015739,3141810,402856
6/8/20,7119355,3293408,406600
6/9/20,7242692,3375668,411461
6/10/20,7376333,3454807,416670
6/11/20,7514724,3540696,421461
6/12/20,7644260,3620412,425780
6/13/20,7778881,3706353,430047
6/14/20,7912426,3777131,433391
6/15/20,8034461,3857338,436899
6/16/20,8173940,3955169,443685
6/17/20,8349950,4073955,448959
6/18/20,8488976,4155099,453979
6/19/20,8664753,4245777,460017
6/20/20,8791794,4365932,464465
6/21/20,8952428,4434628,468331
