negara,latitude,longitude,positif,sembuh,meninggal
Afghanistan,33.0,65.0,28833,8764,581
Albania,41.1533,20.1683,1962,1134,44
Algeria,28.0339,1.6596,11771,8422,845
Andorra,42.5063,1.5218,855,792,52
Angola,-11.2027,17.8739,183,77,9
Antigua and Barbuda,17.0608,-61.7964,26,22,3
Argentina,-38.4161,-63.6167,42785,12728,1011
Armenia,40.0691,45.0382,20268,9002,350
Australia,-31.996187500000005,141.2327875,7474,6903,102
Austria,47.5162,14.5501,17341,16197,690
Azerbaijan,40.1431,47.5769,12729,6799,154
Bahamas,25.0343,-77.3963,104,77,11
Bahrain,26.0275,50.55,21764,16419,63
Bangladesh,23.685,90.3563,112306,45077,1464
Barbados,13.1939,-59.5432,97,85,7
Belarus,53.7098,27.9534,58505,37666,346
Belgium,50.8333,4.0,60550,16771,9696
Belize,13.1939,-59.5432,22,17,2
Benin,9.3077,2.3158,765,253,13
Bhutan,27.5142,90.4336,68,30,0
Bolivia,-16.2902,-63.5887,24388,5454,773
Bosnia and Herzegovina,43.9159,17.6791,3273,2241,169
Botswana,-22.3285,24.6849,89,25,1
Brazil,-14.235,-51.9253,1083341,588118,50591
Brunei,4.5353,114.7277,141,138,3
Bulgaria,42.7339,25.4858,3905,2074,199
Burkina Faso,12.2383,-1.5616,903,814,53
Burma,21.9162,95.956,290,200,6
Burundi,-3.3731,29.9189,144,93,1
Cabo Verde,16.5388,-23.0418,890,413,8
Cambodia,11.55,104.9167,129,127,0
Cameroon,3.8480000000000003,11.5021,11892,7710,303
Canada,47.982907142857144,-88.40206428571427,103078,65249,8482
Central African Republic,6.6111,20.9394,2808,472,23
Chad,15.4542,18.7322,858,752,74
Chile,-35.6751,-71.543,242355,200569,4479
China,32.82838484848484,111.64908181818181,84572,79535,4639
Colombia,4.5709,-74.2973,68836,27412,2353
Comoros,-11.6455,43.3333,247,159,5
Congo (Brazzaville),-4.0383,21.7587,883,391,27
Congo (Kinshasa),-4.0383,21.7587,5826,841,130
Costa Rica,9.7489,-83.7534,2213,1032,12
Cote d'Ivoire,7.54,-5.5471,7492,3068,54
Croatia,45.1,15.2,2317,2142,107
Cuba,22.0,-80.0,2312,2103,85
Cyprus,35.1264,33.4299,986,824,19
Czechia,49.8175,15.472999999999999,10498,7499,336
Denmark,63.287800000000004,-13.338100000000003,12591,11482,600
Diamond Princess,0.0,0.0,712,651,13
Djibouti,11.8251,42.5903,4582,3859,45
Dominica,15.415,-61.371,18,18,0
Dominican Republic,18.7357,-70.1627,26677,15138,662
Ecuador,-1.8312,-78.1834,50640,24991,4223
Egypt,26.0,30.0,55233,14736,2193
El Salvador,13.7942,-88.8965,4626,2535,98
Equatorial Guinea,1.5,10.0,1664,515,32
Eritrea,15.1794,39.7823,143,39,0
Estonia,58.5953,25.0136,1981,1764,69
Eswatini,-26.5225,31.4659,635,285,5
Ethiopia,9.145,40.4897,4532,1213,74
Fiji,-17.7134,178.065,18,18,0
Finland,64.0,26.0,7143,6200,326
France,8.305672727272729,5.42901818181818,197008,74496,29643
Gabon,-0.8037,11.6094,4428,1750,34
Gambia,13.4432,-15.3101,37,24,2
Georgia,42.3154,43.3569,906,755,14
Germany,51.0,9.0,191272,174740,8895
Ghana,7.9465,-1.0232,14154,10473,85
Greece,39.0742,21.8243,3266,1374,190
Grenada,12.1165,-61.678999999999995,23,23,0
Guatemala,15.7835,-90.2308,13145,2711,531
Guinea,9.9456,-9.6966,4988,3669,27
Guinea-Bissau,11.8037,-15.1804,1541,153,17
Guyana,5.0,-58.75,184,103,12
Haiti,18.9712,-72.2852,5077,24,88
Holy See,41.9029,12.4534,12,12,0
Honduras,15.2,-86.2419,12769,1293,363
Hungary,47.1625,19.5033,4094,2589,570
Iceland,64.9631,-19.0208,1823,1805,10
India,21.0,78.0,425282,237196,13699
Indonesia,-0.7893,113.9213,45891,18404,2465
Iran,32.0,53.0,204952,163591,9623
Iraq,33.0,44.0,30868,13935,1100
Ireland,53.1424,-7.6921,25379,22698,1715
Israel,31.0,35.0,20778,15694,306
Italy,43.0,12.0,238499,182893,34634
Jamaica,18.1096,-77.2975,659,516,10
Japan,36.0,138.0,17780,15948,955
Jordan,31.24,36.51,1033,739,9
Kazakhstan,48.0196,66.9237,17732,10897,120
Kenya,-0.0236,37.9062,4738,1607,123
"Korea, South",36.0,128.0,12438,10881,280
Kosovo,42.602636,20.902977,1486,953,33
Kuwait,29.5,47.75,39650,31240,326
Kyrgyzstan,41.2044,74.7661,3356,2021,40
Laos,19.856270000000002,102.495496,19,19,0
Latvia,56.8796,24.6032,1111,903,30
Lebanon,33.8547,35.8623,1587,1068,32
Lesotho,-29.609988,28.233608,4,2,0
Liberia,6.4281,-9.4295,626,254,34
Libya,26.3351,17.228331,571,103,10
Liechtenstein,47.14,9.55,82,55,1
Lithuania,55.1694,23.8813,1798,1475,76
Luxembourg,49.8153,6.1296,4120,3956,110
MS Zaandam,0.0,0.0,9,0,2
Madagascar,-18.7669,46.8691,1596,655,14
Malawi,-13.254307999999998,34.301525,730,258,11
Malaysia,2.5,112.5,8572,8156,121
Maldives,3.2028,73.2207,2203,1803,8
Mali,17.570692,-3.996166000000001,1933,1255,109
Malta,35.9375,14.3754,665,616,9
Mauritania,21.0079,10.9408,2984,811,111
Mauritius,-20.2,57.5,337,326,10
Mexico,23.6345,-102.5528,180545,134495,21825
Moldova,47.4116,28.3699,14200,7896,473
Monaco,43.7333,7.4167,100,94,4
Mongolia,46.8625,103.8467,213,153,0
Montenegro,42.5,19.3,362,315,9
Morocco,31.7917,-7.0926,9977,8284,214
Mozambique,-18.665695,35.529562,733,181,5
Namibia,-22.9576,18.4904,55,19,0
Nepal,28.1667,84.25,9026,1772,23
Netherlands,21.40834,-53.00555999999999,49801,186,6109
New Zealand,-40.9006,174.886,1513,1482,22
Nicaragua,12.8654,-85.2072,1823,1238,64
Niger,17.6078,8.0817,1036,911,67
Nigeria,9.082,8.6753,20244,6879,518
North Macedonia,41.6086,21.7453,5106,1926,238
Norway,60.472,8.4689,8745,8138,244
Oman,21.0,57.0,29471,15552,131
Pakistan,30.3753,69.3451,181088,71458,3590
Panama,8.538,-80.7821,26030,14359,501
Papua New Guinea,-6.315,143.9555,8,8,0
Paraguay,-23.4425,-58.4438,1379,871,13
Peru,-9.19,-75.0152,251338,141967,7861
Philippines,13.0,122.0,30052,7893,1169
Poland,51.9194,19.1451,31931,16683,1356
Portugal,39.3999,-8.2245,39133,25376,1530
Qatar,25.3548,51.1839,87369,68319,98
Romania,45.9432,24.9668,24045,16911,1512
Russia,60.0,90.0,583879,339142,8101
